eventID,eventType,language,license,bibliographicCitation,accessRights,samplingProtocol,rightsHolder,institutionCode,institutionID,modified,country,countryCode,parentEventID,verbatimLocality,minimumDepthInMeters,maximumDepthInMeters,sampleSizeValue,decimalLatitude,decimalLongitude,eventDate,year,month,day,samplingEffort,sampleSizeUnit,geodeticDatum,footprintWKT,eventRemarks
SOC,project,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,,,,,,,,,,,,,,,,
SOC-ALB,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Alberni Inlet,0,2,,,,,,,,,,,,
SOC-BAM,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Bamfield,0,2,,,,,,,,,,,,
SOC-CAM,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Campbell River Aquarium,0,2,,,,,,,,,,,,
SOC-COM,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Comox Marina,0,2,,,,,,,,,,,,
SOC-COS,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Cortes Bay,0,2,,,,,,,,,,,,
SOC-COW,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Cowichan Bay,0,2,,,,,,,,,,,,
SOC-DAA,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Daajing Giids,0,2,,,,,,,,,,,,
SOC-DEN,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Denman Island,0,2,,,,,,,,,,,,
SOC-DES,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Earle, H., Krzus, L., & Whalen, M. (2024). Larval Dungeness crab abundance and size time series along the coast of British Columbia (v1.0). Hakai Institute. https://doi.org/10.21966/36hp-7f40",https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2024-12-03,Canada,CA,SOC,Descanso Bay,0,2,,,,,,,,,,,,
