eventID,eventType,language,license,accessRights,samplingProtocol,rightsHolder,institutionCode,institutionID,modified,country,countryCode,geodeticDatum,parentEventID,verbatimLocality,lat,lon,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,sampleSizeValue,eventDate,year,month,day,samplingEffort,sampleSizeUnit,footprintWKT,eventRemarks
SOC-SOO,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC,Sooke Basin,48.37,-123.72722,48.37,-123.72722,0,2,,,,,,,,,
SOC-SUR,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC,Surge Narrows,50.227191,-125.11224,50.227191,-125.11224,0,2,,,,,,,,,
SOC-TOF,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC,Tofino,49.151969,-125.89702,49.151969,-125.89702,0,2,,,,,,,,,
SOC-GOR,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC,Victoria Gorge,48.439468,-123.37984,48.439468,-123.37984,0,2,,,,,,,,,
SOC-VIC,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC,Victoria Inner Harbour,48.42697,-123.38386,48.42697,-123.38386,0,2,,,,,,,,,
SOC-WHA,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC,Whaler Bay,48.884619,-123.32731,48.884619,-123.32731,0,2,,,,,,,,,
SOC-WIN,station,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC,Winter Cove,48.809618,-123.1902,48.809618,-123.1902,0,2,,,,,,,,,
SOC-ALB-2024-4-25,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,21,2024-04-25,2024,4,25,21 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Rain,Overcast. Hours fished were spread over 2 nights."
SOC-ALB-2024-8-2,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,18,2024-08-02,2024,8,2,18 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Sunny,Windy. Hours fished were spread over 2 nights."
SOC-ALB-2023-5-5,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,19,2023-05-05,2023,5,5,19 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Rain,Windy. Hours fished were spread over 2 nights."
SOC-ALB-2024-4-27,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,19,2024-04-27,2024,4,27,19 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),Overcast. Hours fished were spread over 2 nights.
SOC-ALB-2024-8-5,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,9,2024-08-05,2024,8,5,9 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Sunny,Windy. Hours fished were spread over 1 night."
SOC-ALB-2024-7-31,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,18,2024-07-31,2024,7,31,18 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Sunny,Windy. Hours fished were spread over 2 nights."
SOC-ALB-2024-6-12,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,15,2024-06-12,2024,6,12,15 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Sunny,Overcast,Windy. Hours fished were spread over 2 nights."
SOC-ALB-2024-5-31,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,17,2024-05-31,2024,5,31,17 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Overcast,Windy. Hours fished were spread over 2 nights."
SOC-ALB-2024-6-2,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,17,2024-06-02,2024,6,2,17 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),Overcast. Hours fished were spread over 2 nights.
SOC-ALB-2024-6-4,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,15,2024-06-04,2024,6,4,15 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Rain,Overcast,Windy. Hours fished were spread over 2 nights."
SOC-ALB-2023-5-3,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,19,2023-05-03,2023,5,3,19 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),"Sunny,Windy. Hours fished were spread over 2 nights."
SOC-ALB-2024-7-4,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,16,2024-07-04,2024,7,4,16 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),Sunny. Hours fished were spread over 2 nights.
SOC-ALB-2023-5-1,stationVisit,en,http://creativecommons.org/licenses/by/4.0/legalcode,https://github.com/HakaiInstitute/sentinels-light-trap-public/blob/main/LICENSE,https://github.com/HakaiInstitute/sentinels-light-trap-public/tree/main/docs/Protocols,Hakai Institute,Hakai Institute,https://edmo.seadatanet.org/report/5148,2026-08-28,Canada,CA,WGS84,SOC-ALB,Alberni Inlet,49.231972,-124.81451,49.231972,-124.81451,0,2,20,2023-05-01,2023,5,1,20 hours of light trap fishing,hours,POINT  ( -124.81451   49.231972 ),Sunny. Hours fished were spread over 2 nights.
