Site,Date,Time,Temperature_C
Horseshoe Bay,2025-05-16,15:30:00,14.51
Horseshoe Bay,2025-05-16,16:00:00,14.51
Horseshoe Bay,2025-05-16,16:30:00,14.48
Horseshoe Bay,2025-05-16,17:00:00,14.48
Horseshoe Bay,2025-05-16,17:30:00,14.48
Horseshoe Bay,2025-05-16,18:00:00,14.42
Horseshoe Bay,2025-05-16,18:30:00,14.42
Horseshoe Bay,2025-05-16,19:00:00,14.48
Horseshoe Bay,2025-05-16,19:30:00,14.39
Horseshoe Bay,2025-05-16,20:00:00,14.36
Horseshoe Bay,2025-05-16,20:30:00,14.26
Horseshoe Bay,2025-05-16,21:00:00,14.23
Horseshoe Bay,2025-05-16,21:30:00,14.26
Horseshoe Bay,2025-05-16,22:00:00,14.23
Horseshoe Bay,2025-05-16,22:30:00,14.23
Horseshoe Bay,2025-05-16,23:00:00,14.26
Horseshoe Bay,2025-05-16,23:30:00,14.36
Horseshoe Bay,2025-05-17,0:00:00,14.36
Horseshoe Bay,2025-05-17,0:30:00,14.39
Horseshoe Bay,2025-05-17,1:00:00,14.39
Horseshoe Bay,2025-05-17,1:30:00,14.45
Horseshoe Bay,2025-05-17,2:00:00,14.48
Horseshoe Bay,2025-05-17,2:30:00,14.42
Horseshoe Bay,2025-05-17,3:00:00,14.29
Horseshoe Bay,2025-05-17,3:30:00,14.36
Horseshoe Bay,2025-05-17,4:00:00,14.48
Horseshoe Bay,2025-05-17,4:30:00,14.48
Horseshoe Bay,2025-05-17,5:00:00,14.45
Horseshoe Bay,2025-05-17,5:30:00,14.48
Horseshoe Bay,2025-05-17,6:00:00,14.48
Horseshoe Bay,2025-05-17,6:30:00,14.45
Horseshoe Bay,2025-05-17,7:00:00,14.36
Horseshoe Bay,2025-05-17,7:30:00,14.29
Horseshoe Bay,2025-05-17,8:00:00,14.23
Horseshoe Bay,2025-05-17,8:30:00,14.05
Horseshoe Bay,2025-05-17,9:00:00,14.02
Horseshoe Bay,2025-05-17,9:30:00,13.95
Horseshoe Bay,2025-05-17,10:00:00,13.98
Horseshoe Bay,2025-05-17,10:30:00,14.11
Horseshoe Bay,2025-05-17,11:00:00,14.08
Horseshoe Bay,2025-05-17,11:30:00,14.08
Horseshoe Bay,2025-05-17,12:00:00,14.17
Horseshoe Bay,2025-05-17,12:30:00,14.23
Horseshoe Bay,2025-05-17,13:00:00,14.23
Horseshoe Bay,2025-05-17,13:30:00,14.29
Horseshoe Bay,2025-05-17,14:00:00,14.29
Horseshoe Bay,2025-05-17,14:30:00,14.45
Horseshoe Bay,2025-05-17,15:00:00,14.91
Horseshoe Bay,2025-05-17,15:30:00,14.63
Horseshoe Bay,2025-05-17,16:00:00,14.17
Horseshoe Bay,2025-05-17,16:30:00,14.17
Horseshoe Bay,2025-05-17,17:00:00,14.36
Horseshoe Bay,2025-05-17,17:30:00,14.11
Horseshoe Bay,2025-05-17,18:00:00,14.76
Horseshoe Bay,2025-05-17,18:30:00,14.51
Horseshoe Bay,2025-05-17,19:00:00,14.36
Horseshoe Bay,2025-05-17,19:30:00,14.42
Horseshoe Bay,2025-05-17,20:00:00,14.39
Horseshoe Bay,2025-05-17,20:30:00,14.39
Horseshoe Bay,2025-05-17,21:00:00,14.48
Horseshoe Bay,2025-05-17,21:30:00,14.36
Horseshoe Bay,2025-05-17,22:00:00,14.42
Horseshoe Bay,2025-05-17,22:30:00,14.39
Horseshoe Bay,2025-05-17,23:00:00,14.29
Horseshoe Bay,2025-05-17,23:30:00,14.2
Horseshoe Bay,2025-05-18,0:00:00,14.17
Horseshoe Bay,2025-05-18,0:30:00,14.11
Horseshoe Bay,2025-05-18,1:00:00,14.11
Horseshoe Bay,2025-05-18,1:30:00,14.08
Horseshoe Bay,2025-05-18,2:00:00,14.02
Horseshoe Bay,2025-05-18,2:30:00,13.95
Horseshoe Bay,2025-05-18,3:00:00,14.17
Horseshoe Bay,2025-05-18,3:30:00,14.14
Horseshoe Bay,2025-05-18,4:00:00,14.23
Horseshoe Bay,2025-05-18,4:30:00,14.05
Horseshoe Bay,2025-05-18,5:00:00,13.95
Horseshoe Bay,2025-05-18,5:30:00,13.95
Horseshoe Bay,2025-05-18,6:00:00,13.92
Horseshoe Bay,2025-05-18,6:30:00,14.08
Horseshoe Bay,2025-05-18,7:00:00,14.11
Horseshoe Bay,2025-05-18,7:30:00,14.05
Horseshoe Bay,2025-05-18,8:00:00,13.98
Horseshoe Bay,2025-05-18,8:30:00,13.95
Horseshoe Bay,2025-05-18,9:00:00,13.95
Horseshoe Bay,2025-05-18,9:30:00,13.74
Horseshoe Bay,2025-05-18,10:00:00,13.98
Horseshoe Bay,2025-05-18,10:30:00,13.67
Horseshoe Bay,2025-05-18,11:00:00,13.86
Horseshoe Bay,2025-05-18,11:30:00,13.89
Horseshoe Bay,2025-05-18,12:00:00,13.86
Horseshoe Bay,2025-05-18,12:30:00,13.83
Horseshoe Bay,2025-05-18,13:00:00,14.08
Horseshoe Bay,2025-05-18,13:30:00,13.58
Horseshoe Bay,2025-05-18,14:00:00,13.46
Horseshoe Bay,2025-05-18,14:30:00,13.95
Horseshoe Bay,2025-05-18,15:00:00,13.67
Horseshoe Bay,2025-05-18,15:30:00,13.8
Horseshoe Bay,2025-05-18,16:00:00,13.8
Horseshoe Bay,2025-05-18,16:30:00,13.86
Horseshoe Bay,2025-05-18,17:00:00,13.86
Horseshoe Bay,2025-05-18,17:30:00,13.67
Horseshoe Bay,2025-05-18,18:00:00,13.8
Horseshoe Bay,2025-05-18,18:30:00,13.61
Horseshoe Bay,2025-05-18,19:00:00,13.55
Horseshoe Bay,2025-05-18,19:30:00,13.39
Horseshoe Bay,2025-05-18,20:00:00,13.11
Horseshoe Bay,2025-05-18,20:30:00,13.11
Horseshoe Bay,2025-05-18,21:00:00,13.11
Horseshoe Bay,2025-05-18,21:30:00,13.14
Horseshoe Bay,2025-05-18,22:00:00,13.33
Horseshoe Bay,2025-05-18,22:30:00,13.71
Horseshoe Bay,2025-05-18,23:00:00,13.55
Horseshoe Bay,2025-05-18,23:30:00,13.39
Horseshoe Bay,2025-05-19,0:00:00,13.3
Horseshoe Bay,2025-05-19,0:30:00,13.3
Horseshoe Bay,2025-05-19,1:00:00,13.24
Horseshoe Bay,2025-05-19,1:30:00,13.21
Horseshoe Bay,2025-05-19,2:00:00,13.17
Horseshoe Bay,2025-05-19,2:30:00,13.08
Horseshoe Bay,2025-05-19,3:00:00,13.08
Horseshoe Bay,2025-05-19,3:30:00,13.05
Horseshoe Bay,2025-05-19,4:00:00,12.99
Horseshoe Bay,2025-05-19,4:30:00,12.92
Horseshoe Bay,2025-05-19,5:00:00,12.89
Horseshoe Bay,2025-05-19,5:30:00,12.89
Horseshoe Bay,2025-05-19,6:00:00,12.8
Horseshoe Bay,2025-05-19,6:30:00,12.8
Horseshoe Bay,2025-05-19,7:00:00,12.89
Horseshoe Bay,2025-05-19,7:30:00,12.77
Horseshoe Bay,2025-05-19,8:00:00,12.77
Horseshoe Bay,2025-05-19,8:30:00,12.74
Horseshoe Bay,2025-05-19,9:00:00,12.77
Horseshoe Bay,2025-05-19,9:30:00,12.64
Horseshoe Bay,2025-05-19,10:00:00,12.7
Horseshoe Bay,2025-05-19,10:30:00,12.67
Horseshoe Bay,2025-05-19,11:00:00,12.58
Horseshoe Bay,2025-05-19,11:30:00,12.67
Horseshoe Bay,2025-05-19,12:00:00,12.67
Horseshoe Bay,2025-05-19,12:30:00,12.8
Horseshoe Bay,2025-05-19,13:00:00,12.89
Horseshoe Bay,2025-05-19,13:30:00,12.86
Horseshoe Bay,2025-05-19,14:00:00,12.92
Horseshoe Bay,2025-05-19,14:30:00,13.08
Horseshoe Bay,2025-05-19,15:00:00,13.11
Horseshoe Bay,2025-05-19,15:30:00,13.21
Horseshoe Bay,2025-05-19,16:00:00,13.64
Horseshoe Bay,2025-05-19,16:30:00,13.71
Horseshoe Bay,2025-05-19,17:00:00,13.83
Horseshoe Bay,2025-05-19,17:30:00,13.86
Horseshoe Bay,2025-05-19,18:00:00,13.86
Horseshoe Bay,2025-05-19,18:30:00,13.71
Horseshoe Bay,2025-05-19,19:00:00,13.27
Horseshoe Bay,2025-05-19,19:30:00,13.33
Horseshoe Bay,2025-05-19,20:00:00,13.21
Horseshoe Bay,2025-05-19,20:30:00,13.24
Horseshoe Bay,2025-05-19,21:00:00,13.24
Horseshoe Bay,2025-05-19,21:30:00,13.33
Horseshoe Bay,2025-05-19,22:00:00,13.21
Horseshoe Bay,2025-05-19,22:30:00,13.17
Horseshoe Bay,2025-05-19,23:00:00,13.11
Horseshoe Bay,2025-05-19,23:30:00,13.14
Horseshoe Bay,2025-05-20,0:00:00,13.08
Horseshoe Bay,2025-05-20,0:30:00,13.02
Horseshoe Bay,2025-05-20,1:00:00,13.05
Horseshoe Bay,2025-05-20,1:30:00,13.02
Horseshoe Bay,2025-05-20,2:00:00,12.99
Horseshoe Bay,2025-05-20,2:30:00,12.96
Horseshoe Bay,2025-05-20,3:00:00,12.92
Horseshoe Bay,2025-05-20,3:30:00,12.89
Horseshoe Bay,2025-05-20,4:00:00,12.96
Horseshoe Bay,2025-05-20,4:30:00,13.08
Horseshoe Bay,2025-05-20,5:00:00,13.17
Horseshoe Bay,2025-05-20,5:30:00,13.17
Horseshoe Bay,2025-05-20,6:00:00,13.14
Horseshoe Bay,2025-05-20,6:30:00,13.02
Horseshoe Bay,2025-05-20,7:00:00,12.96
Horseshoe Bay,2025-05-20,7:30:00,13.02
Horseshoe Bay,2025-05-20,8:00:00,12.99
Horseshoe Bay,2025-05-20,8:30:00,12.92
Horseshoe Bay,2025-05-20,9:00:00,12.92
Horseshoe Bay,2025-05-20,9:30:00,12.92
Horseshoe Bay,2025-05-20,10:00:00,12.83
Horseshoe Bay,2025-05-20,10:30:00,12.77
Horseshoe Bay,2025-05-20,11:00:00,12.8
Horseshoe Bay,2025-05-20,11:30:00,12.83
Horseshoe Bay,2025-05-20,12:00:00,12.8
Horseshoe Bay,2025-05-20,12:30:00,12.8
Horseshoe Bay,2025-05-20,13:00:00,12.89
Horseshoe Bay,2025-05-20,13:30:00,12.89
Horseshoe Bay,2025-05-20,14:00:00,12.92
Horseshoe Bay,2025-05-20,14:30:00,13.02
Horseshoe Bay,2025-05-20,15:00:00,13.02
Horseshoe Bay,2025-05-20,15:30:00,13.14
Horseshoe Bay,2025-05-20,16:00:00,13.11
Horseshoe Bay,2025-05-20,16:30:00,13.11
Horseshoe Bay,2025-05-20,17:00:00,13.14
Horseshoe Bay,2025-05-20,17:30:00,13.21
Horseshoe Bay,2025-05-20,18:00:00,13.24
Horseshoe Bay,2025-05-20,18:30:00,13.11
Horseshoe Bay,2025-05-20,19:00:00,12.96
Horseshoe Bay,2025-05-20,19:30:00,13.08
Horseshoe Bay,2025-05-20,20:00:00,13.08
Horseshoe Bay,2025-05-20,20:30:00,13.05
Horseshoe Bay,2025-05-20,21:00:00,13.02
Horseshoe Bay,2025-05-20,21:30:00,13.05
Horseshoe Bay,2025-05-20,22:00:00,13.02
Horseshoe Bay,2025-05-20,22:30:00,13.02
Horseshoe Bay,2025-05-20,23:00:00,13.02
Horseshoe Bay,2025-05-20,23:30:00,12.99
Horseshoe Bay,2025-05-21,0:00:00,13.02
