Site,Date,Time,Temperature_C
Comox,2025-04-15,16:00:00,10.69
Comox,2025-04-15,16:10:00,10.55
Comox,2025-04-15,16:20:00,10.5
Comox,2025-04-15,16:30:00,10.52
Comox,2025-04-15,16:40:00,10.51
Comox,2025-04-15,16:50:00,10.49
Comox,2025-04-15,17:00:00,10.45
Comox,2025-04-15,17:10:00,10.42
Comox,2025-04-15,17:20:00,10.38
Comox,2025-04-15,17:30:00,10.34
Comox,2025-04-15,17:40:00,10.35
Comox,2025-04-15,17:50:00,10.33
Comox,2025-04-15,18:00:00,10.26
Comox,2025-04-15,18:10:00,10.21
Comox,2025-04-15,18:20:00,10.2
Comox,2025-04-15,18:30:00,10.33
Comox,2025-04-15,18:40:00,10.35
Comox,2025-04-15,18:50:00,10.19
Comox,2025-04-15,19:00:00,10.12
Comox,2025-04-15,19:10:00,10.25
Comox,2025-04-15,19:20:00,10.21
Comox,2025-04-15,19:30:00,10.26
Comox,2025-04-15,19:40:00,10.22
Comox,2025-04-15,19:50:00,10.2
Comox,2025-04-15,20:00:00,10.16
Comox,2025-04-15,20:10:00,10.11
Comox,2025-04-15,20:20:00,10.01
Comox,2025-04-15,20:30:00,10
Comox,2025-04-15,20:40:00,10.04
Comox,2025-04-15,20:50:00,10.05
Comox,2025-04-15,21:00:00,10
Comox,2025-04-15,21:10:00,10.03
Comox,2025-04-15,21:20:00,10.03
Comox,2025-04-15,21:30:00,10.07
Comox,2025-04-15,21:40:00,9.95
Comox,2025-04-15,21:50:00,10.01
Comox,2025-04-15,22:00:00,9.86
Comox,2025-04-15,22:10:00,9.7
Comox,2025-04-15,22:20:00,9.76
Comox,2025-04-15,22:30:00,9.84
Comox,2025-04-15,22:40:00,9.77
Comox,2025-04-15,22:50:00,9.7
Comox,2025-04-15,23:00:00,9.8
Comox,2025-04-15,23:10:00,9.89
Comox,2025-04-15,23:20:00,9.95
Comox,2025-04-15,23:30:00,9.96
Comox,2025-04-15,23:40:00,9.94
Comox,2025-04-15,23:50:00,9.84
Comox,2025-04-16,0:00:00,9.8
Comox,2025-04-16,0:10:00,9.83
Comox,2025-04-16,0:20:00,9.86
Comox,2025-04-16,0:30:00,9.84
Comox,2025-04-16,0:40:00,9.79
Comox,2025-04-16,0:50:00,9.84
Comox,2025-04-16,1:00:00,9.79
Comox,2025-04-16,1:10:00,9.84
Comox,2025-04-16,1:20:00,9.84
Comox,2025-04-16,1:30:00,9.81
Comox,2025-04-16,1:40:00,9.83
Comox,2025-04-16,1:50:00,9.85
Comox,2025-04-16,2:00:00,9.79
Comox,2025-04-16,2:10:00,9.83
Comox,2025-04-16,2:20:00,9.86
Comox,2025-04-16,2:30:00,9.78
Comox,2025-04-16,2:40:00,9.75
Comox,2025-04-16,2:50:00,9.75
Comox,2025-04-16,3:00:00,9.78
Comox,2025-04-16,3:10:00,9.61
Comox,2025-04-16,3:20:00,9.56
Comox,2025-04-16,3:30:00,9.6
Comox,2025-04-16,3:40:00,9.33
Comox,2025-04-16,3:50:00,9.24
Comox,2025-04-16,4:00:00,9.36
Comox,2025-04-16,4:10:00,9.59
Comox,2025-04-16,4:20:00,9.47
Comox,2025-04-16,4:30:00,9.33
Comox,2025-04-16,4:40:00,9.42
Comox,2025-04-16,4:50:00,9.41
Comox,2025-04-16,5:00:00,9.39
