Site,Date,Time,Temperature_C
Horseshoe Bay,2024-04-15,8:01:00,10.28
Horseshoe Bay,2024-04-15,8:11:00,9.97
Horseshoe Bay,2024-04-15,8:21:00,10.01
Horseshoe Bay,2024-04-15,8:31:00,9.97
Horseshoe Bay,2024-04-15,8:41:00,9.93
Horseshoe Bay,2024-04-15,8:51:00,9.95
Horseshoe Bay,2024-04-15,9:01:00,9.99
Horseshoe Bay,2024-04-15,9:11:00,10.03
Horseshoe Bay,2024-04-15,9:21:00,10.04
Horseshoe Bay,2024-04-15,9:31:00,10.18
Horseshoe Bay,2024-04-15,9:41:00,10.25
Horseshoe Bay,2024-04-15,9:51:00,10.23
Horseshoe Bay,2024-04-15,10:01:00,10.19
Horseshoe Bay,2024-04-15,10:11:00,10.39
Horseshoe Bay,2024-04-15,10:21:00,10.45
Horseshoe Bay,2024-04-15,10:31:00,10.49
Horseshoe Bay,2024-04-15,10:41:00,10.54
Horseshoe Bay,2024-04-15,10:51:00,10.54
Horseshoe Bay,2024-04-15,11:01:00,10.57
Horseshoe Bay,2024-04-15,11:11:00,10.59
Horseshoe Bay,2024-04-15,11:21:00,10.59
Horseshoe Bay,2024-04-15,11:31:00,10.63
Horseshoe Bay,2024-04-15,11:41:00,10.64
Horseshoe Bay,2024-04-15,11:51:00,10.65
Horseshoe Bay,2024-04-15,12:01:00,10.69
Horseshoe Bay,2024-04-15,12:11:00,10.64
Horseshoe Bay,2024-04-15,12:21:00,10.64
Horseshoe Bay,2024-04-15,12:31:00,10.67
Horseshoe Bay,2024-04-15,12:41:00,10.69
Horseshoe Bay,2024-04-15,12:51:00,10.72
Horseshoe Bay,2024-04-15,13:01:00,10.73
Horseshoe Bay,2024-04-15,13:11:00,10.75
Horseshoe Bay,2024-04-15,13:21:00,10.78
Horseshoe Bay,2024-04-15,13:31:00,10.79
Horseshoe Bay,2024-04-15,13:41:00,10.79
Horseshoe Bay,2024-04-15,13:51:00,10.81
Horseshoe Bay,2024-04-15,14:01:00,10.77
Horseshoe Bay,2024-04-15,14:11:00,10.73
Horseshoe Bay,2024-04-15,14:21:00,10.79
Horseshoe Bay,2024-04-15,14:31:00,10.85
Horseshoe Bay,2024-04-15,14:41:00,10.89
Horseshoe Bay,2024-04-15,14:51:00,10.86
Horseshoe Bay,2024-04-15,15:01:00,10.89
Horseshoe Bay,2024-04-15,15:11:00,10.88
Horseshoe Bay,2024-04-15,15:21:00,10.85
Horseshoe Bay,2024-04-15,15:31:00,10.88
Horseshoe Bay,2024-04-15,15:41:00,10.92
Horseshoe Bay,2024-04-15,15:51:00,10.8
Horseshoe Bay,2024-04-15,16:01:00,10.83
Horseshoe Bay,2024-04-15,16:11:00,10.73
Horseshoe Bay,2024-04-15,16:21:00,10.82
Horseshoe Bay,2024-04-15,16:31:00,10.81
Horseshoe Bay,2024-04-15,16:41:00,10.77
Horseshoe Bay,2024-04-15,16:51:00,10.73
Horseshoe Bay,2024-04-15,17:01:00,10.71
Horseshoe Bay,2024-04-15,17:11:00,10.7
Horseshoe Bay,2024-04-15,17:21:00,10.74
Horseshoe Bay,2024-04-15,17:31:00,10.73
Horseshoe Bay,2024-04-15,17:41:00,10.73
Horseshoe Bay,2024-04-15,17:51:00,10.71
Horseshoe Bay,2024-04-15,18:01:00,10.69
Horseshoe Bay,2024-04-15,18:11:00,10.7
Horseshoe Bay,2024-04-15,18:21:00,10.67
Horseshoe Bay,2024-04-15,18:31:00,10.63
Horseshoe Bay,2024-04-15,18:41:00,10.6
Horseshoe Bay,2024-04-15,18:51:00,10.51
Horseshoe Bay,2024-04-15,19:01:00,10.5
Horseshoe Bay,2024-04-15,19:11:00,10.39
Horseshoe Bay,2024-04-15,19:21:00,10.38
Horseshoe Bay,2024-04-15,19:31:00,10.43
Horseshoe Bay,2024-04-15,19:41:00,10.41
Horseshoe Bay,2024-04-15,19:51:00,10.37
Horseshoe Bay,2024-04-15,20:01:00,10.35
Horseshoe Bay,2024-04-15,20:11:00,10.34
Horseshoe Bay,2024-04-15,20:21:00,10.39
Horseshoe Bay,2024-04-15,20:31:00,10.39
Horseshoe Bay,2024-04-15,20:41:00,10.33
Horseshoe Bay,2024-04-15,20:51:00,10.35
Horseshoe Bay,2024-04-15,21:01:00,10.34
Horseshoe Bay,2024-04-15,21:11:00,10.28
Horseshoe Bay,2024-04-15,21:21:00,10.29
Horseshoe Bay,2024-04-15,21:31:00,10.25
Horseshoe Bay,2024-04-15,21:41:00,10.25
Horseshoe Bay,2024-04-15,21:51:00,10.23
Horseshoe Bay,2024-04-15,22:01:00,10.2
Horseshoe Bay,2024-04-15,22:11:00,10.22
Horseshoe Bay,2024-04-15,22:21:00,10.2
Horseshoe Bay,2024-04-15,22:31:00,10.21
Horseshoe Bay,2024-04-15,22:41:00,10.15
Horseshoe Bay,2024-04-15,22:51:00,10.19
Horseshoe Bay,2024-04-15,23:01:00,10.19
Horseshoe Bay,2024-04-15,23:11:00,10.13
Horseshoe Bay,2024-04-15,23:21:00,10.09
Horseshoe Bay,2024-04-15,23:31:00,10.07
Horseshoe Bay,2024-04-15,23:41:00,10.01
Horseshoe Bay,2024-04-15,23:51:00,10.03
Horseshoe Bay,2024-04-16,0:01:00,9.99
Horseshoe Bay,2024-04-16,0:11:00,10.01
Horseshoe Bay,2024-04-16,0:21:00,9.97
Horseshoe Bay,2024-04-16,0:31:00,9.97
Horseshoe Bay,2024-04-16,0:41:00,9.96
Horseshoe Bay,2024-04-16,0:51:00,9.96
Horseshoe Bay,2024-04-16,1:01:00,9.97
Horseshoe Bay,2024-04-16,1:11:00,9.99
Horseshoe Bay,2024-04-16,1:21:00,9.93
Horseshoe Bay,2024-04-16,1:31:00,9.9
Horseshoe Bay,2024-04-16,1:41:00,9.93
Horseshoe Bay,2024-04-16,1:51:00,9.92
Horseshoe Bay,2024-04-16,2:01:00,9.89
Horseshoe Bay,2024-04-16,2:11:00,9.84
Horseshoe Bay,2024-04-16,2:21:00,9.86
Horseshoe Bay,2024-04-16,2:31:00,9.91
Horseshoe Bay,2024-04-16,2:41:00,9.9
Horseshoe Bay,2024-04-16,2:51:00,9.69
Horseshoe Bay,2024-04-16,3:01:00,9.79
Horseshoe Bay,2024-04-16,3:11:00,9.8
Horseshoe Bay,2024-04-16,3:21:00,9.78
Horseshoe Bay,2024-04-16,3:31:00,9.71
Horseshoe Bay,2024-04-16,3:41:00,9.77
Horseshoe Bay,2024-04-16,3:51:00,9.82
Horseshoe Bay,2024-04-16,4:01:00,9.82
Horseshoe Bay,2024-04-16,4:11:00,9.85
Horseshoe Bay,2024-04-16,4:21:00,9.84
Horseshoe Bay,2024-04-16,4:31:00,9.84
Horseshoe Bay,2024-04-16,4:41:00,9.78
Horseshoe Bay,2024-04-16,4:51:00,9.81
Horseshoe Bay,2024-04-16,5:01:00,9.72
Horseshoe Bay,2024-04-16,5:11:00,9.75
Horseshoe Bay,2024-04-16,5:21:00,9.71
Horseshoe Bay,2024-04-16,5:31:00,9.7
Horseshoe Bay,2024-04-16,5:41:00,9.7
Horseshoe Bay,2024-04-16,5:51:00,9.69
Horseshoe Bay,2024-04-16,6:01:00,9.64
Horseshoe Bay,2024-04-16,6:11:00,9.64
Horseshoe Bay,2024-04-16,6:21:00,9.68
