Site,Date,Time,Temperature_C
Gorge,2024-05-22,11:20:00,15.97
Gorge,2024-05-22,11:30:00,15.37
Gorge,2024-05-22,11:40:00,15.41
Gorge,2024-05-22,11:50:00,15.45
Gorge,2024-05-22,12:00:00,15.54
Gorge,2024-05-22,12:10:00,15.58
Gorge,2024-05-22,12:20:00,15.62
Gorge,2024-05-22,12:30:00,15.63
Gorge,2024-05-22,12:40:00,15.6
Gorge,2024-05-22,12:50:00,15.67
Gorge,2024-05-22,13:00:00,15.7
Gorge,2024-05-22,13:10:00,15.74
Gorge,2024-05-22,13:20:00,15.74
Gorge,2024-05-22,13:30:00,15.76
Gorge,2024-05-22,13:40:00,15.85
Gorge,2024-05-22,13:50:00,15.85
Gorge,2024-05-22,14:00:00,15.75
Gorge,2024-05-22,14:10:00,15.41
Gorge,2024-05-22,14:20:00,15.77
Gorge,2024-05-22,14:30:00,15.55
Gorge,2024-05-22,14:40:00,15.38
Gorge,2024-05-22,14:50:00,14.89
Gorge,2024-05-22,15:00:00,14.5
Gorge,2024-05-22,15:10:00,14.57
Gorge,2024-05-22,15:20:00,14.59
Gorge,2024-05-22,15:30:00,14.52
Gorge,2024-05-22,15:40:00,14.5
Gorge,2024-05-22,15:50:00,14.69
Gorge,2024-05-22,16:00:00,14.83
Gorge,2024-05-22,16:10:00,14.79
Gorge,2024-05-22,16:20:00,14.65
Gorge,2024-05-22,16:30:00,14.6
Gorge,2024-05-22,16:40:00,14.69
Gorge,2024-05-22,16:50:00,14.7
Gorge,2024-05-22,17:00:00,14.79
Gorge,2024-05-22,17:10:00,14.94
Gorge,2024-05-22,17:20:00,15.02
Gorge,2024-05-22,17:30:00,15.06
Gorge,2024-05-22,17:40:00,15.15
Gorge,2024-05-22,17:50:00,15.33
Gorge,2024-05-22,18:00:00,15.32
Gorge,2024-05-22,18:10:00,15.34
Gorge,2024-05-22,18:20:00,15.39
Gorge,2024-05-22,18:30:00,15.33
Gorge,2024-05-22,18:40:00,15.29
Gorge,2024-05-22,18:50:00,15.28
Gorge,2024-05-22,19:00:00,15.13
Gorge,2024-05-22,19:10:00,14.95
Gorge,2024-05-22,19:20:00,14.92
Gorge,2024-05-22,19:30:00,14.73
Gorge,2024-05-22,19:40:00,14.53
Gorge,2024-05-22,19:50:00,14.49
Gorge,2024-05-22,20:00:00,14.53
Gorge,2024-05-22,20:10:00,14.58
Gorge,2024-05-22,20:20:00,14.48
Gorge,2024-05-22,20:30:00,14.48
Gorge,2024-05-22,20:40:00,14.41
Gorge,2024-05-22,20:50:00,14.37
Gorge,2024-05-22,21:00:00,14.33
Gorge,2024-05-22,21:10:00,14.36
Gorge,2024-05-22,21:20:00,14.19
Gorge,2024-05-22,21:30:00,14.18
Gorge,2024-05-22,21:40:00,14.17
Gorge,2024-05-22,21:50:00,14.17
Gorge,2024-05-22,22:00:00,14.13
Gorge,2024-05-22,22:10:00,14.14
Gorge,2024-05-22,22:20:00,14.05
Gorge,2024-05-22,22:30:00,14.07
Gorge,2024-05-22,22:40:00,14.23
Gorge,2024-05-22,22:50:00,14.13
